LA_4,D_4d
LA_4,D_4d
LA_4,D_4d
LA_4,D_4d
LA_4,D_4d
LA_4,D_4d
D_4d,E_8
D_4d,E_8
D_4d,E_8
D_4d,E_8
D_4d,E_8
D_4d,E_8
E_8,F_4
E_8,F_4
E_8,F_4
E_8,F_4
F_4,D_4
F_4,D_4
F_4,D_4
F_4,D_4
D_4,C_8
D_4,C_8
D_4,C_8
D_4,C_8
C_8,B_8
C_8,B_8
C_8,B_8
C_8,B_8
C_8,B_8
C_8,B_8
C_8,B_8
C_8,B_8
B_8,C_8
B_8,C_8
B_8,C_8
B_8,C_8
C_8,D_8
C_8,D_8
C_8,D_8
C_8,D_8
C_8,D_8
C_8,D_8
D_8,E_4
D_8,E_4
D_8,E_4
D_8,E_4
D_8,E_4
D_8,E_4
E_4,LA_4
E_4,LA_4
E_4,LA_4
E_4,LA_4
E_4,LA_4
E_4,LA_4
E_8,F_8
E_8,F_8
E_8,F_8
E_8,F_8
E_8,F_8
E_8,F_8
F_8,G_8
F_8,G_8
F_8,G_8
F_8,G_8
F_8,G_8
F_8,G_8
G_8,E_8
G_8,E_8
G_8,E_8
G_8,E_8
F_8,D_4
F_8,D_4
F_8,D_4
F_8,D_4
D_4,A_4
D_4,A_4
D_4,A_4
D_4,A_4
D_4,A_4
D_4,A_4
D_4,A_4
D_4,A_4
D_4,A_4
D_4,A_4
A_4,A_4
A_4,A_4
A_4,A_4
A_4,A_4
A_4,LA_4
A_4,LA_4
A_4,LA_4
A_4,LA_4
LA_4,B_4d
LA_4,B_4d
B_4d,C_8
B_4d,C_8
B_4d,C_8
B_4d,C_8
C_8,E_8
C_8,E_8
C_8,E_8
C_8,E_8
E_8,D_8
E_8,D_8
E_8,D_8
E_8,D_8
E_8,D_8
E_8,D_8
D_8,C_8
D_8,C_8
D_8,C_8
D_8,C_8
B_8,LA_4
B_8,LA_4
B_8,LA_4
B_8,LA_4
LA_4,D_8d
LA_4,D_8d
LA_4,D_8d
LA_4,D_8d
D_8d,E_16
D_8d,E_16
D_8d,E_16
D_8d,E_16
E_16,D_4
E_16,D_4
E_16,D_4
E_16,D_4
D_4,LA_4
D_4,LA_4
D_4,LA_4
LA_4,D_4
LA_4,D_4
LA_4,D_4
LA_4,D_4
LA_4,D_4
LA_4,D_4
A_4,F_8d
A_4,F_8d
F_8d,G_16
F_8d,G_16
G_16,A_8
G_16,A_8
A_8,D_8
A_8,D_8
D_8,C_8d
D_8,C_8d
C_8d,B_16
C_8d,B_16
B_16,C_8
B_16,C_8
A_4,F_8
A_4,F_8
A_4,F_8
A_4,F_8
F_8,A_8
F_8,A_8
A_8,G_8
A_8,G_8
G_8,F_8
G_8,F_8
G_8,F_8
G_8,F_8
F_8,E_8
F_8,E_8
D_8,C_4
D_8,C_4
C_4,E_8
C_4,E_8
E_8,LA_8
E_8,LA_8
LA_8,B_4d
LA_8,B_4d
